Source,Target
51291973,1688713
51291973,35363419
51291973,27301806
51291973,667792
51291973,1688713
51291973,35363419
51291973,27301806
51291973,6516640
51291973,667792
51291973,6516640
29253247,13988665
29149328,2559817
29253247,2559817
29253247,146072730
29253247,13988665
29253247,146072730
29253247,2559817
29149328,2559817
43109926,203347922
43109926,143383328
43109926,26890291
43109926,143383328
43109926,203347922
43109926,59010830
43109926,59010830
43109926,26890291
30521225,14563987
30806797,67631609
30920569,14563987
30869011,14563987
30518923,14563987
30521225,14563987
30544898,14563987
30806797,14563987
30869011,14563987
30920569,14563987
30518923,14563987
30806797,24450366
30806797,14563987
30806797,24450366
30806797,67631609
30544898,14563987
75379481,75378516
75379481,75378746
75379481,75378695
75379481,75378747
75379481,75379297
75379481,75379297
75379481,75378747
75379481,75378695
75379481,75378516
75379481,75378746
18218401,19336447
18218401,2125021
18218401,11731259
18218401,37424805
18218401,19336447
18218401,11731259
18218401,37424805
18218401,2125021
95071125,4125128
95071125,5313840
95071125,1453197
95071125,29956434
95071125,54847144
95071125,92484749
95071125,9315810
95071125,67700143
95071125,92484749
95071125,1453197
95071125,9315810
95071125,29956434
95071125,4125128
95071125,54847144
95071125,5313840
95071125,67700143
39284200,45310180
39284200,28028282
39284200,15718462
39284200,96812945
39284200,18163901
39284200,18163901
39284200,15718462
39284200,96812945
39284200,28028282
39284200,45310180
22246354,29564260
22246354,1078
22246354,29564260
22246354,3967741
22246354,1078
29346214,3967741
22246354,3967741
29346214,3967741
67755599,1820415
67755599,7756993
67755599,29018647
67755599,344483771
67755599,1820415
67755599,29018647
67755599,344483771
67755599,7756993
91345540,13901904
91364283,6765469
91364283,13901904
91364283,2837151
91364283,2837151
91366201,6765469
91364283,6765469
91366201,6765469
91364283,13901904
91345540,13901904
