Source,Target,Type
100935,130204,Directed
100935,122879,Directed
100935,2730948,Directed
100935,3062330,Directed
100935,1897187,Directed
100935,1577804,Directed
100935,883724,Directed
100935,3445719,Directed
100935,4370617,Directed
100935,4015422,Directed
100935,6254658,Directed
100935,7369403,Directed
100935,7487399,Directed
100935,5581898,Directed
100935,7574032,Directed
100935,8578857,Directed
100935,8041090,Directed
100935,9458053,Directed
100935,8960728,Directed
100935,19456751,Directed
100935,19750237,Directed
100935,14039430,Directed
100935,33683045,Directed
100935,26583216,Directed
100935,34858100,Directed
100935,40382740,Directed
100935,97101165,Directed
100935,107255471,Directed
100935,104352019,Directed
100935,123938419,Directed
100935,129867684,Directed
100935,150396513,Directed
100935,145149047,Directed
100935,162790976,Directed
100935,155668888,Directed
100935,290526283,Directed
100935,243787592,Directed
100935,323401468,Directed
154919,79,Directed
154919,7349,Directed
154919,52250,Directed
154919,62052,Directed
154919,43536,Directed
154919,116683,Directed
154919,88358,Directed
154919,122879,Directed
154919,164528,Directed
154919,149554,Directed
154919,53456,Directed
154919,193584,Directed
154919,175470,Directed
154919,259333,Directed
154919,206797,Directed
154919,212230,Directed
154919,301940,Directed
154919,425642,Directed
154919,449356,Directed
154919,453972,Directed
154919,416166,Directed
154919,489513,Directed
154919,525197,Directed
154919,585267,Directed
154919,596390,Directed
154919,600312,Directed
154919,888177,Directed
154919,893053,Directed
154919,896109,Directed
154919,1473830,Directed
154919,1326998,Directed
154919,1396558,Directed
154919,2029306,Directed
154919,1906522,Directed
154919,883968,Directed
154919,3410169,Directed
154919,3430605,Directed
154919,3636209,Directed
154919,2075803,Directed
154919,3666788,Directed
154919,4186949,Directed
154919,4162287,Directed
154919,4888022,Directed
154919,6857104,Directed
154919,7004299,Directed
154919,2629463,Directed
154919,2059591,Directed
154919,2813548,Directed
154919,2284412,Directed
154919,3347004,Directed
154919,7170054,Directed
154919,7770825,Directed
154919,8020903,Directed
154919,9321359,Directed
154919,10462362,Directed
154919,2618667,Directed
154919,12434430,Directed
154919,9982481,Directed
154919,12871329,Directed
154919,12177425,Directed
154919,10929288,Directed
154919,8820267,Directed
154919,8758979,Directed
154919,20813493,Directed
154919,21780680,Directed
154919,11336264,Directed
154919,13895395,Directed
154919,16836724,Directed
